Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
A History of our First Parents: Adam and Eve,Susie Day,Ebook,USD 2.74,"This volume is a compilation of ancient (and modern) apocryphal texts concerning the life of Adam and Eve.  The books included are: Selections from 'The Legends of the Jews', 'The Conflict of Adam and Eve with Satan', the 'Kitab Al-Magall', 'Extracts from Adam and Eve's Diary', 'The Transgression of Adam', 'The Life of Adam and Eve', 'Apocalypse of Moses', 'Penitence of Adam', 'Mandaean Legends of Creation', 'Ginza Rba', 'The Apocalypse of Sedrach' and 'The Testament of Abraham'.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Susie Day,,,,,PDF,"['adam', 'eve', 'eden', 'god', 'apocrypha', 'pseudographia']"
The History of the Condition of Women [vol. 1 of 2],Lydia Maria Francis Child,Paperback,USD 9.95,"Comprising the Women of Asia and Africa. CONTENTS: Afghanistan -- Africa -- Amazons -- Amboyna -- Arabia -- Armenia -- Assyria -- Babylon -- Bali -- Barbary States -- Bedouin Arabs -- Birmah -- Borneo -- Caria -- Carthage -- Celebes -- Ceylon -- China -- Circassia -- Cochin China -- Corea -- Courdistan -- Druses -- Dutch settlers in  Africa -- Egypt -- Fox Islands -- Georgia -- Hindostan -- Hottentots -- Japan -- Java -- Jews -- Kurile Island -- Loo Choo -- Lycia -- Malacca -- Moors of Africa -- New Guinea -- New Holland -- Palmyra, Queen of Persia -- Philippine Isles -- Siam -- Siberia -- Sumatra -- Syria -- Tartary -- Thibet -- Timor -- Troy -- Turkomans -- Turkey -- Van Diemen's Land.",2009,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Lydia Maria Francis Child,304,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['Women', 'History', 'Asia', 'Africa']"
Soul Sisters Planner 2022-2023,Rebbetzin Hannah Miryam Bejarano-Gutierrez,Paperback,USD 22.50,"This beautiful planner reminds us how we are all united as soul sisters. It contains a weekly planner, notes, habit tracker, reminder notes, and a daily planner page.",2021,English,9781329397101,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rebbetzin Hannah Miryam Bejarano-Gutierrez,192,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['judaism', 'women', 'jewish women', 'torah', 'soul sisters', 'jews', 'hashem', 'planner']"
The Book of Enoch,"R. H. CHARLES, D.LITT., D.D.",Paperback,USD 17.99,"A book of Jewish myth and thinking, the Book of Enoch was a book that was widely used in the first century as a point of reference in Jewish belief. While it is largely unknown exactly when the book was written, it was known to have been written by the time of the New Testament since a passage in the book of Jude comes from this source. While not canonical, this book is an interesting tool to enlightening the myths Jews held onto at the time of Biblical writing.",2016,English,9781365279669,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): R. H. CHARLES, D.LITT., D.D.",76,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['pseudipegripha', 'deutocanonical', 'genesis', 'bible']"
A Second Enclyclical,Anthony Gael Moral,Ebook,USD 0.00,"The novel deals with the events leading to the assassination of future Pope Michael I after the publication of his first encyclical.  That encyclical caused animosity from Muslims, Jews, Protestants, non-believers, and even many within the Catholic Church for its stauncly conservative and bellicose stance.  It is fear of a second encyclical that prompts the Curia, the governing body of the church, to try to stop their leader whom some feel has become somewhat mad.  Why, how, and who caused his death is the subject of the narrative which spans 40 years.",2010,English,N/A,Fiction,All Rights Reserved - Standard Copyright License,By (author): Anthony Gael Moral,,,,,PDF,"['mystery', 'a second encyclical', 'rise of secularism', 'religious violence', 'religious intolerance', 'Papal infallibility', 'priesthood celibacy', 'embryonic stem-cell research', 'romance', 'murder of pope']"
SWORD OF THE ALHAMBRA: A Tale of Ancient Spain,Joseph Anthony,Paperback,USD 22.99,"This is a story of a mighty warrior who fought against all odds to preserve a civilization. Rich in the drama and intrigue of ancient Spain, Joseph Anthony's cinematic debut novel poses challenging political and moral questions that are equally relevant today. If you crave action-packed historical fiction, this is one you won't want to put down!",2014,English,9780984697724,Fiction,All Rights Reserved - Standard Copyright License,By (author): Joseph Anthony,378,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['fiction', 'historical fiction', 'ancient Spain', 'Alhambra', 'convivencia', 'Jews', 'Moors', 'Christians', 'Templar Knights', '15th century']"
Sword of the Alhambra: A Tale of Ancient Spain,Joseph Anthony,Ebook,USD 6.99,"This is the story of a mighty warrior who fought against all odds to preserve a civilization. Rich in the drama and intrigue of 15th century Spain, Joseph Anthony’s cinematic debut novel poses challenging political and moral questions that are equally relevant today. If you crave action-packed historical fiction, this is one book you won’t want to put down.",2014,English,9780990845621,Fiction,All Rights Reserved - Standard Copyright License,By (author): Joseph Anthony,,,,,EPUB,"['Ancient Spain', 'Alhambra', '15th Century', 'Moors', 'Christians', 'Muslims', 'Jews', 'Convivencia']"
The Star of Persia,S P Townsend,Paperback,USD 11.50,"(Paperback) Esther's dreams seem to come true when she is chosen to become the next queen of Persia. But then she discovers that her people are facing total annihilation.  Only she can plead with the emperor on their behalf to prevent a massacre.  But to do so she has to risk her own life and confront a ruthless enemy.  Will she overcome her fears and succeed against such powerful opposition? Through it all Esther is sustained by the conviction that being chosen to be queen was not an accident, but part of a higher purpose. This book will appeal to children aged 9 and over as well as adults. It is particularly suited to families who enjoy reading together.",2008,English,9781847995322,Children's,All Rights Reserved - Standard Copyright License,By (author): S P Townsend,120,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Bible', 'Esther', 'Mordecai', 'Xerxes', 'Haman', 'Jews', 'Purim', 'Persia', 'beauty contest', 'children', 'family', 'adventure', 'story']"
The Temporary Typist,Timothy Merrill,Paperback,USD 26.97,"Set in Bathington, a small town in Iowa (1952), The Temporary Typist is the story of Carlton “Coop” Cooper, a widower recently retired from the railroad. After his church loses its secretary, Coop volunteers on a temporary basis. When a Chinese girl and two young men show up offering to set up a Publications Ministry, his problems seem to be over. But not all is as it seems. Who is this girl? Why is she in Bathington? What exactly are they printing in the back room? After the former typist is found dead, the town is rocked by a several revelations that threaten to publicly humiliate Cooper, a descendant of the original Bathingtons who founded the town and whose centennial he is helping to organize. Meanwhile, Coop’s granddaughter, Frankie, is writing an essay for the centennial. When her research paper reveals a shocking new detail about the town’s ancestors, Coop is uncertain what will happen. With many twists and turns, the story comes to its exciting conclusion, not in Bathington, but a Chicago cemetery.",2013,English,9780989789004,Fiction,All Rights Reserved - Standard Copyright License,By (author): Timothy Merrill,349,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['historical fiction', 'iowa', 'small town', 'murder', 'hotel fire', 'friendship', 'humor', 'bathington', 'church', 'ladies aid', 'robbery', 'jews', 'racism', 'centennial']"
MEIN KAMPF by Adolf Hitler - A demystification!,VED from VICTORIA INSTITUTIONS,Paperback,USD 18.42,"Mein Kampf is certainly a good book, which has various streaks of great insights in various locations. It has been written by a person of outstanding personal capacities and calibre. It is the work of a person who had the capacity to look beyond the parameters and limitations imposed by indoctrinations and herd instincts. There are various locations where it is clearly seen that the author does not have a frog-in-the-well insight on events, incidences and logical thinking, on various items connected to history, sociology and as well measuring others.

At the same time, this book and its author did also have a lot of failures and shallowness, and including that of a frog-in-the-well attitude on certain items.

The first item of its failure to measure up to book of universal appeal is its very basic cloistered and highly confined ambit of readership appeal. Even though there are various inputs, ideas and insights of glorious levels, the book is confined to a Germany versus others, Aryans versus others, Germans versus others, location. It is also localised by a very ubiquitous, Germans versus the Jews attitude, plus a totally anti-Jewish imputation everywhere.

At the same time, this book cannot be mentioned as pro-German book also. For, the book is full of accusations on German leadership, and there are many passages wherein the German people quality has been decried as corrupt, useless and utter foolish. If one were to not see the sentences that eulogise German traditions, heritage and various other claims of a similar kind, the book does actually parade German defects, German social incompetence, low-quality standards of the German leadership, and much more things. In fact, almost all the defects in the German administration, German politicians, German social life, German economic relationships, lack of quality in military leadership etc. are seen listed ouT",2020,English,N/A,History,All Rights Reserved - Standard Copyright License,"Commentaries by: VED from VICTORIA INSTITUTIONS, Preliminary work by: Adolf Hitler",287,Coil Bound,Color,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Hitler', 'Jews', 'Mein Kampf', 'England', 'Anglophilia', 'feudal language', 'Shamanism', 'Aryan']"
We Want To Live,Jacob Rassen,Ebook,USD 16.19,"Jacob Rassen's firsthand account of being placed in and escaping from a Nazi concentration camp during WWII. He reveals the horrors of Dvinsk, Riga, Kovno and other ghettos and being hunted like an animal.",2011,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Jacob Rassen,,,,,PDF,"['holocaust', 'nazis', 'rassen', 'wwII', 'jewish', 'jews', 'dvinsk', 'kaiserwald', 'concentration camps']"
THE ROYAL FAMILY,Mahari Mengistu,Paperback,USD 16.46,"This play covers the breadth of the Afro-Egyptian/Kemetic 18th Dynasty of Pharaoh Tutankhamen and his illustrious and influential family.  It is based on historical and archaeological evidence taken from Egyptian history and from structural remains in Afraka, Israel and its environs.",2008,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Mahari Mengistu,49,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Ancient African history', 'black history', 'play', 'novel', 'black Egypt', 'Africa', 'pharaohs', 'African queens', 'kings', 'monotheism', 'Aten', 'jews', 'ancient Africa', 'jews in Africa', 'Amenhotep', 'Amun']"
The Story of Esther,Frances Sciatha,Paperback,USD 31.94,"It's the book of Esther... in anime!

Esther is a young Jewish girl who was chosen to be the queen of Persia. Then Haman, the second most powerful man in the empire, creates a law that all the Jews will be killed! Esther has to ask the king to stop this law and save her people.

Prideful advisors, treasonous guards, and warring dragons (yes, it's accurate) - this  description is potentially making the book sound more interesting than it really is! (Not sure!)",2022,English,9781387839995,Comics & Graphic Novels,All Rights Reserved - Standard Copyright License,By (author): Frances Sciatha,38,Paperback,Color,Comic Book (6.625 x 10.25 in / 168 x 260 mm),,"['esther', 'bible', 'manga', 'anime', 'biblical']"
"So Many Gates to the City... A Guide for the Modern Perplexed  A Book About Jewish Belief and Understanding, and Making Some Sense Of  It",Irwin Tyler,Paperback,USD 14.99,"Is Judaism really misunderstood today?  How do you know? 

What is an Orthodox, a Conservative, a Reform Jew?
Why are there different viewpoints within Judaism?
How did these different viewpoints come about? 

Few Jews and fewer Christians can answer these questions:

What did Jesus, the Jew, believe? 
How did Jesus, the Jew, practice Judaism? 
What is the Jewish mindset of the world of 2,000 years ago?
What is the range of today's American or Israeli Jewish mindset?

Anyone wanting to understand the basics of Judaism needs the level of understanding of Judaism that ""So Many Gates to the City..."" offers. This book makes the foundations of Judaism more understandable and meaningful to the Orthodox,  non-Orthodox and non-Jew alike.  The most fundamental concepts defining Judaism are made readily understandable, while the divergences that non-Orthodox Jewish movements have taken are made clear.",2013,English,9781304630704,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Irwin Tyler,194,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Jewish', 'Judaism', 'philosophy', 'Jews', 'God', 'Heaven', 'pray', 'prayer', 'angel', 'Jewish people', 'bible commentary', 'Bible']"
A Holocaust Memoir,David Goldkorn,Hardcover,USD 12.20,"At the age of sixteen, David “Dolek” Goldkorn was separated from his family by the Nazis and sent to a series of work and concentration camps. At the end of the war, he was alone, having lost parents, grandparents, brothers, sister, and countless aunts, uncles and cousins to the Nazi genocide of Jews. The story of his ordeal, and survival, would be unbearable if not for his positive mental outlook, which has remained remarkably intact despite all that he witnessed. It is this buoyancy that has enabled audiences as diverse as Jewish congregations in Florida and high-school students in inner city New York to respond to his plea:“We have to, we must, proclaim to the world, that every nation has the obligation to control their fanatical individuals who spread their hate and poison.”",2016,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): David Goldkorn,76,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['David Goldkorn', 'holocaust', 'memoir']"
Assignment Code 123: Heaven On Earth Series,Colleen Reimer,Paperback,USD 20.60,"THE THREAT OF WORLD WAR II IS GROWING. HEAVEN AND EARTH, GOD AND MAN, ANGELS AND DEMONS. IT’S TIME TO CHOOSE SIDES. Hitler gradually grows in popularity and gains the coveted Chancellor position over Germany. Beata Schluter, a young woman living in Berlin, is forced to choose between conformity to the masses and standing up for her convictions. Hahn Brauer, a young German soldier, is thrown into the world of war, not knowing if he’ll ever see his young bride again. David Kohn, a respected Jewish rabbi, is bombarded by dreams brought to him by angels. Anka Trafas, married to a Jewish man, Aaron Levin, is rejected by her Polish family. Her life is ushered into harsh decisions as the war invades Poland. Esther Brenner, a young Dutch girl living in Russia on the Crimean Steppe, along with her family, is plunged into uncertainty as Germany advances into Russia. Lines are drawn and decisions are made, each person must choose their path and accept the outcome.",2015,English,9781483439174,Fiction,All Rights Reserved - Standard Copyright License,By (author): Colleen Reimer,362,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Soldiers', 'Danger', 'Heaven', 'Angels', 'Demons', 'Supernatural', 'Protection', 'Eternal', 'Hitler', 'Holocaust', 'Germany', 'Nazis', 'Germans', 'Suffering', 'Jews', 'God']"
So Deeply Scarred,Howard Morgan,Ebook,USD 10.00,"Holocaust scholar Raul Hilberg summarized the historical progression of “Christian” Anti-Semitism in this way: 1. You have no right to live among us as Jews. 2. You have no right to live among us. 3. You have no right to live. In this book, I have organized this history chronologically. It shows a pattern repeated again and again from the Roman period through the present day. We witness Crusades, Inquisitions, Expulsions and Pogroms, all of which culminated in the Holocaust. As we study this history we can see the year-by-year, decade-by-decade and century-by-century operation of the spirit of Anti-Semitism. History shows us when, where and how it spread. It temporarily subsides in one place and then emerges in another. We are witnessing its present-day resurgence, not only via violent terrorist attacks but in many other ways as well.",2019,English,9781794708693,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Howard Morgan,,,,,EPUB,"['Howard Morgan', 'anti-Semitism', 'Jews', 'Jewish', 'Holocaust', 'Christian', 'Israel', 'Scarred']"
Letters to The Times New Revised Edition,Ron Ismail,Ebook,USD 12.61,"A collection of letters written to Times Newspapers over a fifteen year period. They deal with social and political issues in a way that many will consider extremely controversial, with special emphasis on the threat to world peace through American and Zionist aggression.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Ron Ismail,,,,,PDF,"['Al Qaeda', 'Blair', 'Bush', 'Hamas', 'Israel', 'Jews', 'Palestine', 'Terror', 'Crime']"
Germany and England,Nesta Webster,Paperback,USD 6.99,"Germany and England is a little known pamphlet 
By Nesta Webster, 1938 
 The small book is about  Germany under National Socialism, and specifically it's Chancellor, Adolf Hitler. 
Here is a different perspective from Nesta on the Origins of World War. Quite hard to find.
Contains useful appendixes. And introduction by Jackie Patru.",2007,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Nesta Webster,52,Saddle Stitch,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['World War two', 'world war', 'germany', 'hitler', 'jews', 'bolshkeviks', 'revolution', 'conspiracy', 'anti-semitism', 'patriot']"
THE ROYAL FAMILY,Mahari Mengistu,Ebook,USD 9.00,"This play covers the breadth of the Afro-Egyptian/Kemetic 18th Dynasty of Pharaoh Tutankhamen and his illustrious and influential family.  It is based on historical and archaeological evidence taken from Egyptian history and from structural remains in Afraka, Israel and its environs.",2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): Mahari Mengistu,,,,,PDF,"['Ancient African history', 'black history', 'play', 'novel', 'black Egypt', 'Africa', 'pharaohs', 'African queens', 'kings', 'monotheism', 'Aten', 'jews', 'ancient Africa', 'jews in Africa', 'Amenhotep', 'Amun']"
Eight Candles of Consciousness: Essays on Jewish Nonviolence,Rabbi Yonassan Gershom,Paperback,USD 11.99,"Rabbi Yonassan Gershom, vegetarian and lifelong pacifist, shares his best anti-war articles, thoughts, poems and memories from 40 years of peace activism. Includes his nonviolent Hanukkah service, ""Eight Candles of Consciousness""; his anti-Kahane protest actions in the 1980s; essays on ecology and Judaism; why he supports gay rights; how he became a vegetarian; thoughts, essays, stories, prayers, anecdotes and quotes on peace.  A fascinating retrospective, woven together in a personal style that combines good scholarship with easy reading.  Accessible to both Jews and Gentiles, this anthology will forever change your ideas about Judaism and nonviolence.",2009,English,9780557049226,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Rabbi Yonassan Gershom,116,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Judaism', 'Jewish', 'peace', 'anti-war', 'pacifism', 'nonviolence', 'Israel', 'protest', 'vegetarian', 'Hanukkah', 'Chanuka']"
Abortion The Mass Murder of Children,Billy Crone,Paperback,USD 18.99,"Imagine somebody coming along, murdering, ruthlessly slaughtering, ten times the amount of people as Hitler did during the Holocaust with the Jews. Then consider the methods that were used by this group of people in order to massacre others in cold blood, included dismembering them alive, literally limb by limb, and then casually throwing their remains into a garbage receptacle. Then imagine the perpetrators not only becoming millionaires from this sickening human annihilation, but they even go so far as to say they have a “legal right” to do this deadly deed. Believe it or not, what has just been described to you is the Abortion movement. Therefore, this book, Abortion The Mass Murder of Children equips you with the much needed hard core evidence that unmasks the gruesome reality of Abortion with such shocking truths as: The History of Abortion, The Survivors of Abortion, The Motive of Abortion, The Aftermath of Abortion, The Church & Abortion, The Response to Abortion, and The Future of Abortion.",2019,English,9781948766371,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Billy Crone,212,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['God', 'Jesus', 'Bible', 'Billy Crone', 'abortion', 'mass murder', 'of children', 'genocide', 'infanticide', 'roe', 'wade', 'fetus', 'baby', 'heartbeat bill', 'pro life', 'pro choice', ""women's rights"", 'feminism', 'partial birth', 'down syndrome', 'hitler', 'holocaust', 'cloning', 'vaccines', 'organs']"
Kashrus Halacha - Animal Products,Rabbi Dovid Cohen,Hardcover,USD 24.00,"This work addresses the kosher status of items produced by kosher and non-kosher animals, birds, and insects, including milk, cheese, and other dairy products; excretions such as shellac, lanolin, techeles, colostrum, honey, and other bee products; and many questions relating to eggs from kosher or non-kosher birds.  There are also chapters on the mesorah of kosher birds, overview of the dairy industry, teraifos issues that relate to milk and eggs, timtum halev, foods forbidden to non-Jews, and homeopathic remedies.",2023,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Rabbi Dovid Cohen,378,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['kosher', 'kashrus', 'halacha', 'torah', 'chalav yisroel', 'gevinas yisroel', 'yotzeh', 'eggs', 'chalav stam', 'cheese', 'dairy', 'homeopathic']"
Diaspora Journey : A Passover Haggadah Drama - Revised Edition,Corey-Jan Albert,Ebook,USD 5.00,"A uniquely conceived Passover Haggadah, structured as a play in which people act out consistent roles throughout the evening. It takes place at Seder tables through history, telling not only the story of the Jews' exodus from Egypt, but also the continuing tale of Jewish survival through the ages. This revised edition includes key updates - including new music by the author - and follows the traditional order more closely than the original version, to enable the widest possible audience to experience and enjoy it.",2011,English,9781257228959,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Corey-Jan Albert,,,,,EPUB,"['Passover', 'Haggadah', 'Pesach', 'Jewish', 'Judaica', 'Theatre', 'Drama', 'Play', 'Acting', 'Ritual', 'Performance']"
The Empty Torah,Marc Michaels,Ebook,USD 4.09,"The leaders of the Jewish community of Syracuse have a cunning plan. But when it backfires, it could spell doom and disaster for all the Jews in the kingdom. Will the evil Marcos get his way or will Ephraim the shamash save the day? And who is the mysterious glowing stranger standing at the foot of Ephraim’s bed? Find out in 'The Empty Torah'. A modern re-telling of Megillat Saragosanus, commemorating the Purim of Syracuse.",2018,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Marc Michaels,,,,,PDF,"['Purim', 'Syracuse', 'Saragossa', 'Torah', 'tik', 'story']"
MOI VOSPOMINANIYA,Anna Velkovskaia,Paperback,USD 14.99,Memoirs. Anna Borisovna Velkovskaia (born 1919) – veteran of the Second World War and democratic motion in the Soviet Union. In 1992 emigrated to Germany. Member of the Jewish community of Baden-Baden. Arcus NY Publishing.,2013,Russian,9781304513038,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Anna Velkovskaia,227,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Soviet Union', 'Second World War', 'Stalinizm', 'repressions', 'democratic motion', 'purging', 'persecution of Jews']"
Adolf Hitler and Nazi Germany,History Editors,Ebook,USD 7.50,An excellent historic record of Adolf Hitler and the Nazi party.,2011,English,N/A,History,All Rights Reserved - Standard Copyright License,By (author): History Editors,,,,,PDF,"['nazis', 'german', 'germans', 'germany', 'jews', 'jew', 'jewish', 'extermination', 'concentration', 'camp', 'camps']"
Knots Untied,Charles Vogan,Hardcover,USD 25.00,"<br><br>Many teachings in the Bible are plain to understand to anybody who reads them.  But some stories and concepts can be confusing to the uninitiated — with the result that the student may just get the wrong idea and believe what the Bible definitely does not teach! <br><br>In <b>Knots Untied</b> the author tackles some long-held misconceptions about the Bible.  Here you will find discussions on whether Lot was a good man or bad, and whether Christians should tithe, and the truth about Creation, and what happened to the Jewish religion in 70 AD. <br><br>This requires some careful study of the text — get ready to look closely at what the Bible really says, not what you thought it said!<br><br><i>... (Casewrap, B&W interior)</i><br>",2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Charles Vogan,230,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Lot', 'Bible study', 'Jews', 'Witnessing', 'Tithe', 'Creation', 'Christianity', 'Bibles', 'Bible', 'Studies']"
Two Seasons In Hell,Arie Renous,Paperback,USD 9.99,"To escape from the persecutions of the Jews that the Ger-mans organized during the occupation of Belgium from 1940 to 1944, Jewish children were forced to hide. During those four years, they had to evade all attempts at deportation, and when these anti-Semitic actions became too dangerous, they were separated from their parents in the hope of increasing their chances of survival. They found refuge: this one in a guest house, that one with a family, another in a children’s boarding house, starting in 1942.The story in this book is that of a child hiding in Belgium during these dark years.",2014,English,9781312256149,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Arie Renous,108,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,['jewish  child worldwar']
הגדה של פסח,Smadar Ifrach,Hardcover,USD 49.99,"Passover Haggadah With Grammar dotted,With recipes of the Jewish Passover holiday, festive and special festive dishes and customs of the Jews,salads,soups,cakes and more... especially for children, recipes for Passover, amazing colorful book, Recipes can be on the table in 30 minutes or even less, it is very easy to prepare, kosher recipes, Jewish and cooking local cuisine are adapted to suit their own styles, This recipes book highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,N/A,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,80,Hardcover,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['cook', 'Holiday', 'Book', 'Recipes', 'cooking', 'Jewish', 'smadar', 'ifrach', 'kosherpsH', 'hgdh', 'KHSHr', 'sprd', 'lbSHl', 'lHg', 'spr', 'mtKHvnym', 'bySHvl', 'yhvdy']"
Insights From the Book of Luke,Sahar Saado,Paperback,USD 14.99,"After visiting the Land of Israel for the first time, many people begin reading their Bible in full-color. When believers start to explore the Jewish roots of their faith, Bible stories come alive. The more they delve into the Word of God, they see God’s plan for His people (the Jews) and His Land (Israel).  While travelling the Land and reading the Gospel stories about Jewish Yeshua (Jesus), many get a glimpse of the Heart of God. This book is a tool to learn more about the Land and culture in which Yeshua lived. 
As a Messianic Jewish tour guide, Sahar Saado has a unique perspective on how the story of the Bible fits together with the Land of Israel.  Insights From the Book of Luke shares Sahar’s perspective on this treasured Gospel. Not only does this publication delve deeply into the Jewishness of Luke’s narrative, Sahar also shares his own story.",2017,English,9789657542668,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Sahar Saado,112,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Bible study', 'Eretz Israel', 'Land of Israel', 'Jerusalem', 'tour guide', 'Luke Gospel', 'Yeshua', 'disciples', 'John the Baptist', 'Jordan River', 'Devotions', 'Jewish roots', 'Biblical Faith', 'Messianic Jews', 'testimony']"
Secret Knowledge,Tonny Rutakirwa,Paperback,USD 23.40,"The Rig-Veda, from Christianity to Buddhism, from the Kabbalah of the Jews to the Surfis sect of Islam to the oldest known Hindu writings. Many of these names have Sacred Knowledge. For many significant purposes, the Egyptian Hierophants (Priest) rendered the Pyramids in the form of a Triangle & Square. 

This is the eighth book in the Awaken Series by Tonny Rutakirwa, published by Tonniez Publishing Press on 25th March 2018 and is a detailed account of the most basic building blocks of ancient knowledge.",2020,English,9781716407352,Social Science,All Rights Reserved - Standard Copyright License,"By (author): Tonny Rutakirwa, Foreword by: Charles Karanja Munderu",300,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Tonny Rutakirwa', 'Tonniez Publishing Press', 'Awaken Series', 'Philosophy', 'Ancient Wisdom', 'Charles Karanja Munderu', 'Greece', 'Rome', 'Roman Empire', 'Macedonia', 'Babylon', 'Egypt', 'Pyramids', 'Thiruvananthapuram']"
Sefer Kohelet,Eliyahu Yaakov ben Gedaliah,Ebook,USD 4.32,The book of Kohelet is most known as Ecclesiastes. King Solomon presents readers with a message that has stood the test of time. All is a gift from God. All that a man has truly is a good soul. This he can take with him upon leaving this world. All is vanity such that all that a man does under the sun is temporal and can not and will not measured in the world to come. This work continues the tradition of wisdom found in the among Israelites and Jews throughout the ages.,2021,English,9781365209697,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Eliyahu Yaakov ben Gedaliah,,,,,PDF,"['judaism', 'kabbalah']"
הגדה של פסח,Smadar Ifrach,Paperback,USD 19.99,"Passover Haggadah With Grammar dotted,With recipes of the Jewish Passover holiday, festive and special festive dishes and customs of the Jews,salads,soups,cakes and more... especially for children, recipes for Passover, amazing colorful book, Recipes can be on the table in 30 minutes or even less, it is very easy to prepare, kosher recipes, Jewish and cooking local cuisine are adapted to suit their own styles, This recipes book highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,N/A,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,80,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['cook', 'Holiday', 'Book', 'Recipes', 'cooking', 'Jewish', 'smadar', 'ifrach', 'kosherpsH', 'hgdh', 'KHSHr', 'yhvdy', 'sprd', 'lbSHl', 'lHg', 'spr', 'mtKHvnym', 'bySHvl']"
The Rejection of Palestinian Self-Determination,Jeremy R. Hammond,Ebook,USD 4.99,"""The Rejection of Palestinian Self-Determination"" is an overview of the crucial period from the rise of the Zionist movement until the creation of the state of Israel, examining how the seeds of the continuing conflict in the Middle East between Jews and Arabs were sown during this time. It sets out to show, by examining principle historical documents and placing key events in proper context, that the root of today's conflict is the rejection of the right to self-determination for the Arab Palestinians.  ""Essential reading"" -- Jim Miles, The Palestine Chronicle",2011,English,9781257307401,History,All Rights Reserved - Standard Copyright License,By (author): Jeremy R. Hammond,,,,,EPUB,"['Israel', 'Palestine', 'Israeli-Palestinian Conflict']"
