Title,Author,Type,Price,Summary,Publication Year,Language,ISBN,Category,Copyright,Contributors,Pages,Binding,Interior Color,Dimensions,Format,Keywords 
Eliyahu Meitus: A Grandniece’s Book About a Hebrew Poet,Ella Romm,Ebook,USD 5.99,"My granduncle, Eliyahu Meitus (1892-1978), lived through the first three quarters of the XX century, the turbulent times in the history of the European Jews. His life began in Bessarabia, a distant province of the Russian Empire, and ended in the state of Israel 85 years later. He was a poet and writer, a teacher and translator, a polyglot and Zionist.",2015,English,9781329493407,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ella Romm,,,,,EPUB,"['Eliyahu Meitus', 'Ella Romm', 'Hebrew Poet', 'Michael Romm']"
The Timeless Age of God,Russell Redden,Ebook,USD 7.77,"This book quotes from ancient texts, proving the existence of an ancient belief about God and heaven central to Jewish and Christian theology. However, few theologians apply this doctrine to Biblical theology today. Ancient Jews and Greeks believed that outside of creation, only the infinite or ""timelessness"" existed. This unchanging place of perfection was also known as the Spirit of the Almighty God.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Russell Redden,,,,,PDF,"['God', 'time', 'theology', 'timelessness']"
The Timeless Age of God,Russell Redden,Hardcover,USD 32.95,"This book quotes from ancient texts, proving the existence of an ancient belief about God and heaven central to Jewish and Christian theology. However, few theologians apply this doctrine to Biblical theology today. Ancient Jews and Greeks believed that outside of creation, only the infinite or ""timelessness"" existed. This unchanging place of perfection was also known as the Spirit of the Almighty God.",2008,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Russell Redden,368,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['God', 'time', 'theology', 'timelessness']"
Welcome to the Cavalcade,Various Contributors,Paperback,USD 16.74,"A celebration by his rabbinic and academic colleagues of Rabbi Professor Jonathan Magonet’s unique contribution to the Jewish and wider world. On the occasion of his 70th birthday, these essays – by Jews, Christians and Muslims – reflect Jonathan’s love of Bible and special approach to biblical exegesis, his innovations in liturgy, his creativity in poetry and song, his commitment to interfaith explorations, and the ways in which he has fostered individual and original voices who have added to the richness and complexity of religious life today.
This Festschrift combines academic essays with more personal reflections from scholars and friends from around the world and contains a full bibliography of Jonathan’s published work as well as an overview of Jonathan’s achievements from his friend and colleague Rabbi Lionel Blue.",2013,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Various Contributors,516,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Judaism', 'Jewish', 'Festschrift', 'Rabbi', 'Bible', 'Reflections']"
‘Rescuing Miranda’ And Further Literary Essays,Cedric Watts,Paperback,USD 14.00,"Cedric Watts, Emeritus Professor of English at Sussex University,  gathers here fifteen of his  literary essays which were previously published in a diversity of locations. They include some of his most popular and controversial pieces, notably:
‘ The Semiotics of Othello’;
‘Bakhtin’s Monologism’;
‘Haunting Conrad’s Under Western Eyes’;
and 
‘Jews and Degenerates in The Secret Agent’.
Several of the essays concern Shakespeare and Conrad, but there are also discussions of Keats, Sterne, Kipling, D. H. Lawrence, and Edward FitzGerald’s translation of The Rubáiyát of Omar Khayyám.",2017,English,9780244311063,Fiction,All Rights Reserved - Standard Copyright License,By (author): Cedric Watts,224,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Khayyám', 'Rubáiyát', 'FitzGerald', 'Keats', 'Sterne', 'Kipling']"
The Empty Torah,Marc Michaels,Paperback,USD 5.09,"The leaders of the Jewish community of Syracuse have a cunning plan. But when it backfires, it could spell doom and disaster for all the Jews in the kingdom.
Will the evil Marcos get his way or will Ephraim the shamash save the day?
And who is the mysterious glowing stranger standing at the foot of Ephraim’s bed? Find out in 'The Empty Torah'. A modern re-telling of Megillat Saragosanus, commemorating the Purim of Syracuse.",2018,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Marc Michaels,76,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Purim', 'Syracuse', 'Saragossa', 'Torah', 'tik', 'story']"
DANIK! A Holocaust Survivor - The True Story of David Kalma (David Zaid),Ross R. Olney,Ebook,USD 3.99,"David Zaid survived the extermination of Jews in Poland ordered by Adolph Hitler and went on to become a hero in the Israeli army. His voice is now stilled, but with this book he continues to speak out against the holocaust-deniers who insist that the atrocities never happened. Zaid lived through it, and knows the truth. And if he ever questioned his own courage while hiding from the murderous Nazis and equally murderous Polish farmers in a Polish forest, the questions were answered in the Israeli wars as he fought in hand to hand combat for his beloved new homeland. He survived once again, and saw his final dream come true when he, along with his wife and two sons, became American citizens.",2012,English,9781300186601,History,All Rights Reserved - Standard Copyright License,By (author): Ross R. Olney,,,,,EPUB,"['holocaust', 'Ross R. Olney', 'WW Two', 'prison camps', 'death camps', 'Hitler', 'Nazi', 'Jews', 'Israel', 'final solution', 'extermination of Jews']"
Hebrew Destiny,Yair Davidiy,Paperback,USD 20.00,"""Hebrew Destiny"" describes how the Lost Ten Tribes are to be found in Countries of the West. This message needs to be spread. The Prophet  Hosea warned ""Ephraim,"" meaning principally the English-speaking peoples, against the dangers of Islam. Mohamed was described as a ""Mad Prophet."" Hosea foresaw that ""Ephraim"" would attempt to come to an understanding with followers of this person. The consequences are liable to result in disaster. In addition, ""Ephraim"" will be deluded and afflicted due to rampant sexual immorality. Hosea recalls how these same sins led to the Ten Tribes going into Exile. They lost awareness of their ancestry. The Phoenician Edomites of Tyre and the Minoan Sailors of Phillistia under Edomite direction served as agents for Assyria. They set up colonies in the west to work the mines and to grow crops to supply the Assyrian Empire. Israelites were taken in ships as captives to settle in such places. They were also taken overland to other areas. From there too, they came westward. Descendants of Ephraim are still to be found among Western nations and their offshoots. They are called upon to repent. The presence of many from the Lost Ten Tribes in North America in our times had been predicted. Judah will have remained basically faithful. Judah will be called upon to lead the Lost Ten Tribes back. The Ten Tribes will need to return to the God of Israel, accept the leadership of the House of David, and help rebuild the Temple.",2018,English,9781008993082,History,All Rights Reserved - Standard Copyright License,By (author): Yair Davidiy,140,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Lost Ten tribes', 'Hosea', 'prophecy', 'America', 'New World', 'Judah', 'Jews', 'End times']"
Bolshevik Burlesque,Steve Cohen,Paperback,USD 24.10,"This is a story about outsiders, and the outsiders' outsiders - dissident Trotskyists within the Trotskyist movement, Trotskyists within the left, Jews in the diaspora, ideological minorities of Jews within the Jewish communities.

It is also a story of memory: the scrambled memory of fictional character Owen Owen (loosely based on British activist Pat Jordan, a leading figure in the anti-Vietnam war movement) and the memory of the working class and the Jewish experiences.

The madcap, screwball caricature and satire is very loosely based on the political life of Max Shachtman and  his friends James P Cannon (""O'Bannion"" in the story) and Martin Abern (""Mortie Behrens"" in the story). Together they formed a Trotskyist movement in the USA. It was one of the most influential and important Trotskyist groups in the world and they had the best treehouse den and jolly-japes that any group of friends could hope for.",2010,English,9781445737706,Fiction,All Rights Reserved - Standard Copyright License,By (author): Steve Cohen,372,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Trotskyism', 'Satire']"
"ט""ו בשבט",Smadar Ifrach,Ebook,USD 9.99,"Cookbook of the Jewish holiday  - Tu Bishvat, festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher, Jewish and cooking local cuisine are adapted to suit their own styles, tastes and dietary laws, kosher recipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,9780359021710,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['book', 'baking', 'cooking', 'children', 'kids', 'recipe', 'beef', 'meat', 'easy', 'prepare', 'kosher', 'smadar', 'holiday', 'tu bishvat', 'jewish', 'ifrach', 'more']"
"Tanks Among the Tulips: Stories of Bennebroek, a Small Dutch Town During World War 2",Ardith Heemskerk,Ebook,USD 8.99,An eyewitness account of life in a conquered country. Things previously free were ‘verboten’. Food rationing was imposed. Jews were sent to Concentration Camps. Stores were empty. Factories were stolen. Young men were taken into forced labor. Dutch lawyers were forbidden to practice. And German judges pronounced harsh sentences on Dutch defendants because they believed they would not have been accused if they weren’t guilty.,2015,English,9781483421131,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Ardith Heemskerk,,,,,EPUB,"['Nazi occupation', 'Flooding Plan', 'Defending the bridges', 'Flower bulbs', 'Destruction of Rotterdam', 'Radio Orange', 'Queen Wilhelmina', 'Railroad Strike', 'Hunger Winter', 'The English Pilot', 'Escape from Delfzyl', 'The Seminary', 'Crazy Tuesday', 'Rommel’s Asparagus']"
State of Exception,Chase Carter,Paperback,USD 15.00,"State of Exception is an artist publication about the connections and conflations between personal and collective identity, memory, and politics. Specifically, this book tackles Palestinian- and Jewish-American’s complex relationships to Israel-Palestine. The publication links together oral interviews, written stories, amalgamated timelines, digital maps, quotations, and propaganda. Through interviews and family narratives, the artist hopes to add new understandings to the narrow and stereotypical discourse that Palestinians and Jews are represented by. This work is part of a broader artistic and academic research project by the artist, which aims to better understand a series of questions concerning Jewish identity, memory, and nationalism.",2014,English,N/A,Art & Photography,All Rights Reserved - Standard Copyright License,By (author): Chase Carter,94,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['israel', 'palestine', 'judaism', 'jewish', 'artist', 'art']"
Code Name Hammer,Irven Hammerman,Hardcover,USD 30.80,"There is a part of World War II that, to the best of my knowledge, has not been told. My assignment was to be the elimination of certain German SS and Gestapo officers, as well as other people designated by General Donovan, General Smith or their adjutants. I was told that the men I would be eliminating were instrumental in the torture and elimination of the Jews in Europe.",2011,English,9781257656417,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Irven Hammerman,120,Hardcover,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['World War II', 'OSS', 'G2', 'Spy', 'Assassin', 'Normandy Invasion', 'William Donovan', 'Walter Bedell Smith', 'Utah Beach', 'Bridge at Remagen', 'German SS', 'Gestapo']"
THE MIRACLE MESSAGE,James Reesor,Paperback,USD 10.00,"""THE MIRACLE MESSAGE"" is needed by every person who has the ""HEM-DATA"" flash drive! A supernatural experience is waiting for people when they take time to read ""THE MIRACLE MESSAGE"" or listen to the “CD SOUND” of God talking through prophet Elijah. Controversial debates between Jews, Muslims, Christians, Atheists and others will be the catalyst to spark a global spiritual awakening. It is time for the “ELIJAH MISSION” to go worldwide! Go read and think about the info found on these web sites... ELIJAHMAN.COM & FIREHOTNEWS.COM & CODE-C-CLUB.COM",2017,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): James Reesor,20,Saddle Stitch,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['miracle message', 'james reesor', 'elijah', 'elijahman']"
Who and What am I  . . .  Why Am I Here On This Earth?,Travis Glenn Haws,Paperback,USD 12.50,"Every human being at some time in life has questioned Who and What they are and Why they are here on this earth. The author of this book provides the answers that 15 million people from all over the world have found and believe. Christians, Jews, Muslims, Buddhaists, and Atheists, and from every other belief have found the answers and changed their lives. People from every nation and culture thrill as they have gained an understanding of Who they are and What they are and Why they are here on this earth . . . and so can you by reading this book!",2014,English,9781304785404,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Travis Glenn Haws,166,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['existence', 'purpose', 'meaning of life', 'relationship to God', 'after death']"
Peter's Epistles A Commentary,K B Napier,Paperback,USD 20.51,"Peter is often considered to be a 'hot-head', because of his impetuous nature. And so he was. But, these two Epistles prove him to have also been a capable and deep theologian. In this Commentary he 'pressed my button' - and this is reflected in some of the anecdotal notes. Though speaking to saved Jews, what he said applies to every Christian alive today. Though he had a tough argument with Paul at one time, these Epistles are truly godly. Read them!",2019,English,9780244769604,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): K B Napier,298,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['Peter', 'Apostle', 'Epistles', 'holy', 'righteous', 'salvation', 'Jews', 'doctrine']"
LOVE MY PEOPLE   Timeless Secrets  Volume 1,Drs Jay & Meridel Rawlings,Paperback,USD 19.99,"""Faith is an incredible journey, sometimes stranger than fiction."" In this first volume of the Timeless Secrets series Jay and Meridel highlight their first decades as they move from being quiet Canadians to world travelers and lovers of Israel. They are honest about the challenges they meet when pulling up their Canadian roots, going against the status quo and following their dreams into the volatile Middle East. Israel has been the focal point of their lives for the last 46 years. You are invited to join them on their journey of faith and trust in the God of Israel.",2015,English,9789657542354,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Drs Jay & Meridel Rawlings,268,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['biography', 'testimony', 'Bible', 'Christianty', 'faith ministry', 'Israel', 'Jews', 'India', 'missionaries', 'nursing', 'hospital administration', 'Canada', 'Scotland', 'Jerusalem']"
חגי ישראל,Smadar Ifrach,Hardcover,USD 65.99,"Cookbook of the Jewish holidays, festive and special holiday dishes, and customs of the Jews, kosher recipe, it is very easy to prepare, and recipes can be on the table in 30 minutes and even less kosher recipes,highly recommended!!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,Hebrew,N/A,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,102,Hardcover,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Holiday', 'Cooking', 'Baking', 'kosher', 'Jewish', 'book', 'recipes', 'dishes', 'salads', 'fruits', 'new year', 'yom kippur', 'succot', 'simchat torah', 'bakery', 'vegetables', 'smadar', 'Tu Bishvat', 'Independence Day', 'Passover', 'Shavuot', 'Hanukkah', 'Purim', 'smadar ifrach']"
Jewish Holidays,Smadar Ifrach,Ebook,USD 12.99,"Cookbook of the Jewish holidays, festive and special holiday dishes, and customs of the Jews, kosher recipe, it is very easy to prepare, and recipes can be on the table in 30 minutes and even less kosher recipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,English,9781387994540,Cookbooks,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,,,,,PDF,"['Holiday', 'Cooking', 'Baking', 'kosher', 'Jewish', 'book', 'recipes', 'dishes', 'salads', 'fruits', 'new year', 'yom kippur', 'succot', 'simchat torah', 'bakery', 'vegetables', 'smadar', 'Tu Bishvat', 'Independence Day', 'Passover', 'Shavuot', 'Hanukkah', 'Purim', 'smadar ifrach']"
Passover Haggadah with Grammar dotted,smadar ifrach,Paperback,USD 26.50,"Passover Haggadah, Oriental-style, With Grammar dotted , With recipes of the Jewish Passover holiday, ,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher, Jewish and cooking local cuisine are adapted to suit their own styles, tastes and dietary laws. This recipe book, you will find a wide variety of kosher, highly recommended.",2018,Hebrew,9781387932450,Children's,All Rights Reserved - Standard Copyright License,By (author): smadar ifrach,40,Paperback,Color,Square (8.5 x 8.5 in / 216 x 216 mm),,"['cooking', 'baking', 'Jewish', 'kosher', 'smadar', 'ifrach', 'Holiday', 'Passover']"
The Timeless Age of God,Russell Redden,Paperback,USD 19.95,"This book quotes from ancient texts, proving the existence of an ancient belief about God and heaven central to Jewish and Christian theology. However, few theologians apply this doctrine to Biblical theology today. Ancient Jews and Greeks believed that outside of creation, only the infinite or ""timelessness"" existed. This unchanging place of perfection was also known as the Spirit of the Almighty God.",2007,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Russell Redden,368,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['God', 'time', 'theology', 'timelessness']"
The Boy and The Tower,Nigel Shindler,Hardcover,USD 42.25,"“Love Is the Nature of Existence”, is a part of me; it is who I am.
  The life I have lived represents the central message the book has to convey; an explanation as to what a Jew is, and why The Lord decided to create “The Chosen People”.
  The purpose of life as The Bible teaches us, and all other Holy Scriptures, is to join, yoke, become one with God.
  In order for Man to accomplish this feat The Lord chose certain members of the human population to help others cultivate their minds, and by doing so have the same knowledge Adam and Eve had while in the Garden of Eden.
  The best of best, no matter the discipline, have always been Jews throughout recorded history.  The Jews do not solely belong among the Semitic people that wandered for centuries throughtout the Middle East; they do, however, represent the highest concentration considering the overall size of the population that has existed over time.",2014,English,9781312340107,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Nigel Shindler,321,Linen Wrap,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Love peace', 'practise understanding']"
Hebrew Christians fight Beginings for the Gospel of Jesus  May 2010,Vasile Mesaros-Anghel,Paperback,USD 19.39,"Description:	About It is a text that presents facts happened two thousand years ago. In year 5, boiling between Judea revolt against Roman occupant, split between recipients and outcasts of fortune, the moral degradation and mesianism. Among insiders raises a Hebrew prophet: Jesus of Nazareth. He teach, by curing, miracles of God's love for all people, in the spirit of Essenes communities: work, life and faith together. Things practiced by the ancient Hebrew people, but unknown to other nations. It was the Hebrew apostles to lead our evangelism among Jews, to transgression The Ten Commandments, Torah and the Laws of Moses in adapted forms, accessible cultural level of the new non Jews followers. In a hundred years, the Hebrew Christians Communities came as messianic role, the stage of history, but the mission fulfilled. When Moses built A PEOPLE FOR A FAITH, Apostless has generated A FAITH FOR ALL THE PEOPLES. Mesaros-Anghel Vasile Bucuresti – Romania 2009 Mail: [email protected]",2010,English,9781446164426,History,All Rights Reserved - Standard Copyright License,By (author): Vasile Mesaros-Anghel,142,Paperback,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Jesus', 'Hebrew', 'Christian', 'apostle', 'Jehosuah', 'God', 'Allah', 'Jew', 'Sanhedrin', 'roman', 'muslim', 'mameluke', 'crusader', 'ottoman', 'british', 'alya', 'Eretz Israel', 'Mesaros Anghel']"
Eating Stars and Other Tidbits,Betty Savarese Cota,Paperback,USD 13.99,"This is a collection of personal stories and memories through the eyes of the author over many years of travel and fun gleaned from many diverse countries. 

Some tidbits from Eating Stars . . . 

“Our star collecting was spread out over two or three years. In one trip alone they numbered 36—nine lunches and three dinners.” 

Shanghai 1982 

“The street markets carried all kinds of food items: live and dead chickens, hanging sides of fly-specked unidentifiable cuts of meat, whole pigs and parts, fish and fish heads, tons of vegetable, some recognizable, some not. No one, not one single person spoke English nor did anyone approach us.”",2017,English,9781483463322,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Betty Savarese Cota,132,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['travel', 'couple', 'eating', 'explore', 'Eastern European', 'Eastern European Jews', 'American Italian', 'fun', 'love', 'together']"
Index and Miscellaneous Articles of Protestant Messianic Eschatology,The Southern Israelite,Paperback,USD 23.00,"This book does not contain all of my writings on Eschatology. It is written to complete them and to compile them into a complete and consistent Biblical Eschatology. My other Eschatological writings can be found in my books Why I Left the Christian Church, One Hundred and Sixty-Six Theses Against the Jews, the Hebrew Roots, the Ebionites, the Muslims and the Premillennialists and 225 Reasons Why I Believe the Earth is Flat.",2016,English,9781365539916,History,All Rights Reserved - Standard Copyright License,By (author): The Southern Israelite,96,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Eschatology', 'Historicism']"
God Moves in Mysterious Ways,John W Keddie,Paperback,USD 7.99,"This is an exposition of the Biblical Book of Esther in the Old Testament. It brings out the struggles of the Jews who remained in captivity in a foreign land away from their own land and culture and religion. Whilst the name of God is not found in the Book of Esther, nonetheless it is a study of God's Providence in preserving His people despite their compromises in the cultural and religious situation they experienced in exile.",2018,English,9780244695880,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): John W Keddie,72,Paperback,Black & White,Pocket Book (4.25 x 6.875 in / 108 x 175 mm),,"['God', 'Bible', 'Esther', 'Old Testament', 'Jewish History']"
Jewish Holidays,Smadar Ifrach,Hardcover,USD 65.99,"Cookbook of the Jewish holidays, festive and special holiday dishes, and customs of the Jews, kosher recipe, it is very easy to prepare, and recipes can be on the table in 30 minutes and even less kosher recipes,highly recommended!!!    10% of all proceeds go to cancer research donation !!! Help us to help cancer patients ... Thank you for your purchase...",2018,English,N/A,Children's,All Rights Reserved - Standard Copyright License,By (author): Smadar Ifrach,102,Hardcover,Color,US Letter (8.5 x 11 in / 216 x 279 mm),,"['Holiday', 'Cooking', 'Baking', 'kosher', 'Jewish', 'book', 'recipes', 'dishes', 'salads', 'fruits', 'new year', 'yom kippur', 'succot', 'simchat torah', 'bakery', 'vegetables', 'smadar', 'Tu Bishvat', 'Independence Day', 'Passover', 'Shavuot', 'Hanukkah', 'Purim', 'smadar ifrach']"
Passover Haggadah with Grammar dotted,smadar ifrach,Paperback,USD 26.50,"Passover Haggadah, Oriental-style, With Grammar dotted , With recipes of the Jewish Passover holiday, ,festive and special holiday dishes, and customs of the Jews, it is very easy to prepare, kosher, Jewish and cooking local cuisine are adapted to suit their own styles, tastes and dietary laws. This recipe book, you will find a wide variety of kosher, highly recommended.",2018,Hebrew,9781387926756,Children's,All Rights Reserved - Standard Copyright License,By (author): smadar ifrach,40,Paperback,Color,US Trade (6 x 9 in / 152 x 229 mm),,"['cooking', 'baking', 'Jewish', 'kosher', 'smadar', 'ifrach', 'Holiday', 'Passover']"
Tão Profunda Cicatriz,Howard Morgan,Ebook,USD 7.00,"O estudioso do Holocausto Raul Hilberg, em seu livro A Destruição dos Judeus Europeus, encapsulou os éditos da Igreja em relação ao povo judeu desta maneira:
1. Vocês não têm o direito de viver em nosso meio como Judeus.
2. Vocês não têm o direito de viver entre nós.
3. Vocês não têm o direito de viver.
Neste livro, organizei esta história cronologicamente. Ele mostra um padrão repetido uma e outra vez desde o período romano até os dias de hoje. Nós testemunhamos Cruzadas, Inquisições, Expulsões e Pogroms, tudo isso culminou no Holocausto. Enquanto estudamos esta história, podemos ver o ano-a-ano, década-a-década e século-a-século da operação do espírito de antissemitismo. A história nos mostra quando, onde e como se espalhou.",2019,Portuguese,9780359686148,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Howard Morgan,,,,,EPUB,"['Anti-Semitism', 'Howard Morgan', 'Jews', 'Holocaust', 'Christian', 'Israel']"
No Light at the End of the Tunnel,Kim Zaslavsky,Ebook,USD 8.99,"This book is about the life of the people reflected by World War 2, ideology and religion. It is full of persons and actions which is taking the reader into the world of strong emotions and life wisdom. It is about the family life of a jewish surgeon, Dr. Brotman who survived through the holocaust in Nazi occupied Kiev, Ukraine. Also he survived the persecution of the 30's and 50's in Soviet Ukraine.  However, he immigrated to Germany in a time of a a birthing new democratic society of independent Ukraine. The destiny of Brotmans family reflects a historical period. On the other hand, the main entity in this novel is a system and collective historical society. The content of the book forms a question of collective guilt of the society in the relationship of the Jewish nation.",2017,English,9781387424344,Fiction,All Rights Reserved - Standard Copyright License,By (author): Kim Zaslavsky,,,,,PDF,"['world war 2', 'holocaust', 'prosecution of jews', 'immigration']"
Beit Am Matriarchs,Judith Berlowitz,Paperback,USD 7.50,"This oral history reveals how seven intrepid women in their commitment to Jewish life led to the creation of the Beit Am community in in Corvallis, Oregon.",2011,English,9781435779488,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Judith Berlowitz,50,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Beit Am', 'oral history', 'Oregon', 'Jews', 'Judaism', 'Corvallis']"
The People of the Apocalypse,Evangelist Larry E. Wolfe,Ebook,USD 2.50,"Each chapter of ""The People of the Apocalypse"" is a separate in-depth Bible study that focuses upon those who appear in prophetic Scripture. By utilizing the Lord Jesus Christ's chronological unfolding of the End Times in Matthew 24: 3-31, each person or people group is studied in order to show their individual role in Bible prophecy. This Bible study method provides insight into how God will bring to pass His purposes during the last days. Many views of when the raputre occurs abound today, including the Pre-Trib/Pretribulation, Mid-Trib/Midtrib, Post Trib/Post Tribulation theories, and Pre-wrath/Prewrath. But the Lord's primary focal points of the End Times are His Church, His holy people the Jews, and His holy city Jerusalem. He will rapture His Church and send His prophets, along with the 144 thousand, to the Jews in order to bring to pass their glorious redemption. This book is an excellent tool for personal Bible Study or as a teaching resource for the study of prophecy.",2011,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,"By (author): Evangelist Larry E. Wolfe, By (author): www. btmi.org",,,,,PDF,"['Bible', 'prewrath', 'pre-wrath', 'prophecy', 'Jesus', 'Christ', 'God', 'revelation', 'tribulation', 'rapture']"
613 Poetic Explanations of the Laws of Moses,NAVI MOSI,Hardcover,USD 61.30,"613 commandments, 613 poems that teach the commandments. Using poetry retention of the commandments is enhanced.",2014,English,N/A,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): NAVI MOSI,636,Hardcover,Black & White,US Letter (8.5 x 11 in / 216 x 279 mm),,"['mitzvot', '613', 'Moshe', 'rabbeinu', 'HEBREW', 'LEVITICAL', 'JEWS', 'JERUSALEM']"
The Promised Land,Mary Antin,Paperback,USD 11.95,"CONTENTS: Introduction -- Within the Pale -- Children of the Law -- Both their Houses -- Daily Bread -- I Remember -- The Tree of Knowledge -- The Boundaries Stretch -- The Exodus -- The Promised Land -- Initiation -- “My Country” -- Miracles -- A Child’s Paradise -- Manna -- Tarnished Laurels -- Dover Street -- The Landlady -- The Burning Bush -- A Kingdom in the Slums -- The Heritage -- Acknowledgements -- Glossary.
FIRST PARAGRAPH: I was born, I have lived, and I have been made over. Is it not time to write my life's story? I am just as much out of the way as if I were dead, for I am absolutely other than the person whose story I have to tell. Physical continuity with my earlier self is no disadvantage. I could speak in the third person and not feel that I was masquerading. I can analyze my subject, I can reveal everything; for she, and not I, is my real heroine. My life I have still to live; her life ended when mine began.",2009,English,N/A,Biographies & Memoirs,All Rights Reserved - Standard Copyright License,By (author): Mary Antin,424,Paperback,Black & White,Digest (5.5 x 8.5 in / 140 x 216 mm),,"['Jews', 'Russians', 'Boston', 'Immigration', 'Soviet Union', 'United States']"
In the Image of God,Tim Edmonds,Paperback,USD 12.61,"This book outlines the case for believing in God based on a philosophical approach to religion. The title was chosen because Christians, Muslims and Jews all use the phrase ""in the image of God"" to describe human beings and to assert that they are valuable. The first part of the book is mostly philosophy and is relevant to those of any religion or of none. In the middle there is a chapter which looks at what an argument for the existence of God would look like in the light of the philosophical points made. The last part of the book is a sketch of such an argument.",2013,English,9781291649635,Religion & Spirituality,All Rights Reserved - Standard Copyright License,By (author): Tim Edmonds,146,Paperback,Black & White,A5 (5.83 x 8.27 in / 148 x 210 mm),,"['philosophy of religion', 'does God exist', 'value and virtue']"
From Baghdad to Jerusalem,Mordechai Yerushalmi,Paperback,USD 23.95,"Who is Abu-Moch? Is he Kadouri Kudsi Zada, a hard-working Jewish businessman from Baghdad? Or is he a Muslim dervish named Nur El Din Khan? Find out when you read this spellbinding true-to-life tale of a shoemaker from Baghdad who, when forced to flee for his life, finds refuge in Iran as a Shi'ite Muslim. Readers of this gripping novel about the inimitable Abu-Moch will gain insight into the Muslim culture that features so prominently in the news. Watch as events move between Iraq and Iran and you will discover the complexity of life for Jews in Muslim countries. When relationships between Jews and Muslims deteriorate in Iraq, the hero and his family are forced to relocate to the newly created State of Israel. The difficulties they face are revealed in their desperate attempt to be absorbed into the Jewish State. As fast-paced as any thriller, this biographical novel offers a penetrating study of immigration. It should be required reading for anyone interested in Middle-Eastern culture!",2006,English,9781847286666,Fiction,All Rights Reserved - Standard Copyright License,By (author): Mordechai Yerushalmi,396,Paperback,Black & White,US Trade (6 x 9 in / 152 x 229 mm),,"['Baghdad', 'Iraq', 'Iran', 'Persia', 'Jerusalem', 'Israel', 'Middle East', 'Judaism', 'Jew', 'Jewish', 'Islam', 'Muslim', 'Moslem', ""Shi'ite"", 'Arab', 'immigrant', 'immigration', 'culture', 'religion', 'Zionism', 'novel', 'biography', 'biographical novel', 'biographies', 'history', 'historical novel']"
